TeamName	RegularSeasonRank	Record	PointsFor	PointsAgainst	PlayoffRank	ManagerName	Moves	Trades	DraftPosition
Los Cheezos Ritzols	1	11-3-0	1,455.70	1,288.62	3	Ritz	26	1	3
Weizen Express	2	10-4-0	1,686.92	1,346.90	2	Benni	59	3	8
Show Me Your TDs	3	9-5-0	1,471.08	1,337.24	4	Tommy	40	1	4
oG United	4	8-6-0	1,513.02	1,452.82	1	Erik	40	2	5
Snatchville Lubricators	5	6-8-0	1,258.12	1,418.76	5	Kessi	16	0	1
SimonFuhr237	6	4-10-0	1,439.32	1,605.10	6	Simi	22	0	2
Juschka	7	4-10-0	1,281.68	1,420.94	7	Juschka	43	0	6
Suckme Mourdock Network	8	4-10-0	1,234.14	1,469.60	8	Marv	23	3	7







